종목코드,종목명
000020,동화약품
000040,KR모터스
000050,경방
000060,메리츠화재
000070,삼양홀딩스
000075,삼양홀딩스우
000080,하이트진로
000087,하이트진로2우B
000100,유한양행
000105,유한양행우
000120,CJ대한통운
000140,하이트진로홀딩스
000145,하이트진로홀딩스우
000150,두산
000155,두산우
000157,두산2우B
000180,성창기업지주
000210,대림산업
000215,대림산업우
000220,유유제약
000225,유유제약1우
000227,유유제약2우B
000230,일동홀딩스
000240,한국테크놀로지그룹
000270,기아차
000300,대유플러스
000320,노루홀딩스
000325,노루홀딩스우
000370,한화손해보험
000390,삼화페인트
000400,롯데손해보험
000430,대원강업
000480,조선내화
000490,대동공업
000500,가온전선
000520,삼일제약
000540,흥국화재
000545,흥국화재우
000547,흥국화재2우B
000590,CS홀딩스
000640,동아쏘시오홀딩스
000650,천일고속
000660,SK하이닉스
000670,영풍
000680,LS네트웍스
000700,유수홀딩스
000720,현대건설
000725,현대건설우
000760,이화산업
000810,삼성화재
000815,삼성화재우
000850,화천기공
000860,강남제비스코
000880,한화
000885,한화우
00088K,한화3우B
000890,보해양조
000910,유니온
000950,전방
000970,한국주철관
000990,DB하이텍
000995,DB하이텍1우
001020,페이퍼코리아
001040,CJ
001045,CJ우
00104K,CJ4우(전환)
001060,JW중외제약
001065,JW중외제약우
001067,JW중외제약2우B
001070,대한방직
001080,만호제강
001120,LG상사
001130,대한제분
001140,국보
001200,유진투자증권
001210,금호전기
001230,동국제강
001250,GS글로벌
001260,남광토건
001270,부국증권
001275,부국증권우
001290,상상인증권
001340,백광산업
001360,삼성제약
001380,SG충방
001390,KG케미칼
001420,태원물산
001430,세아베스틸
001440,대한전선
001450,현대해상
001460,BYC
001465,BYC우
001470,삼부토건
001500,현대차증권
001510,SK증권
001515,SK증권우
001520,동양
001525,동양우
001527,동양2우B
001529,동양3우B
001530,DI동일
001550,조비
001560,제일연마
001570,금양
001620,케이비아이동국실업
001630,종근당홀딩스
001680,대상
001685,대상우
001720,신영증권
001725,신영증권우
001740,SK네트웍스
001745,SK네트웍스우
001750,한양증권
001755,한양증권우
001770,신화실업
001780,알루코
001790,대한제당
001795,대한제당우
001800,오리온홀딩스
001820,삼화콘덴서
001880,대림건설
001940,KISCO홀딩스
002020,코오롱
002025,코오롱우
002030,아세아
002070,비비안
002100,경농
002140,고려산업
002150,도화엔지니어링
002170,삼양통상
002200,한국수출포장
002210,동성제약
002220,한일철강
002240,고려제강
002270,롯데푸드
002310,아세아제지
002320,한진
002350,넥센타이어
002355,넥센타이어1우B
002360,SH에너지화학
002380,KCC
002390,한독
002410,범양건영
002420,세기상사
002450,삼익악기
002460,화성산업
002600,조흥
002620,제일파마홀딩스
002630,오리엔트바이오
002690,동일제강
002700,신일전자
002710,TCC스틸
002720,국제약품
002760,보락
002780,진흥기업
002785,진흥기업우B
002787,진흥기업2우B
002790,아모레G
002795,아모레G우
00279K,아모레G3우(전환)
002810,삼영무역
002820,선창산업
002840,미원상사
002870,신풍제지
002880,대유에이텍
002900,동양물산
002920,유성기업
002960,한국쉘석유
002990,금호산업
002995,금호산업우
003000,부광약품
003010,혜인
003030,세아제강지주
003060,에이프로젠제약
003070,코오롱글로벌
003075,코오롱글로벌우
003080,성보화학
003090,대웅
003120,일성신약
003160,디아이
003200,일신방직
003220,대원제약
003230,삼양식품
003240,태광산업
003280,흥아해운
003300,한일홀딩스
003350,한국화장품제조
003410,쌍용양회
003415,쌍용양회우
003460,유화증권
003465,유화증권우
003470,유안타증권
003475,유안타증권우
003480,한진중공업홀딩스
003490,대한항공
003495,대한항공우
003520,영진약품
003530,한화투자증권
003535,한화투자증권우
003540,대신증권
003545,대신증권우
003547,대신증권2우B
003550,LG
003555,LG우
003560,IHQ
003570,S&T중공업
003580,넥스트사이언스
003610,방림
003620,쌍용차
003650,미창석유
003670,포스코케미칼
003680,한성기업
003690,코리안리
003720,삼영화학
003780,진양산업
003830,대한화섬
003850,보령제약
003920,남양유업
003925,남양유업우
003960,사조대림
004000,롯데정밀화학
004020,현대제철
004060,SG세계물산
004080,신흥
004090,한국석유
004100,태양금속
004105,태양금속우
004140,동방
004150,한솔홀딩스
004170,신세계
004250,NPC
004255,NPC우
004270,남성
004310,현대약품
004360,세방
004365,세방우
004370,농심
004380,삼익THK
004410,서울식품
004415,서울식품우
004430,송원산업
004440,대림씨엔에스
004450,삼화왕관
004490,세방전지
004540,깨끗한나라
004545,깨끗한나라우
004560,현대비앤지스틸
004565,현대비앤지스틸우
004690,삼천리
004700,조광피혁
004710,한솔테크닉스
004720,우리들제약
004770,써니전자
004800,효성
004830,덕성
004835,덕성우
004840,DRB동일
004870,티웨이홀딩스
004890,동일산업
004910,조광페인트
004920,씨아이테크
004960,한신공영
004970,신라교역
004980,성신양회
004985,성신양회우
004990,롯데지주
00499K,롯데지주우
005010,휴스틸
005030,부산주공
005070,코스모신소재
005090,삼광글라스
005110,한창
005180,빙그레
005190,동성화학
005250,녹십자홀딩스
005257,녹십자홀딩스2우
005300,롯데칠성
005305,롯데칠성우
005320,국동
005360,모나미
005380,현대차
005385,현대차우
005387,현대차2우B
005389,현대차3우B
005390,신성통상
005420,코스모화학
005430,한국공항
005440,현대그린푸드
005490,POSCO
005500,삼진제약
005610,SPC삼립
005680,삼영전자
005690,파미셀
005720,넥센
005725,넥센우
005740,크라운해태홀딩스
005745,크라운해태홀딩스우
005750,대림B&Co
005800,신영와코루
005810,풍산홀딩스
005820,원림
005830,DB손해보험
005850,에스엘
005870,휴니드
005880,대한해운
005930,삼성전자
005935,삼성전자우
005940,NH투자증권
005945,NH투자증권우
005950,이수화학
005960,동부건설
005965,동부건설우
006040,동원산업
006060,화승인더
006090,사조오양
006110,삼아알미늄
006120,SK디스커버리
006125,SK디스커버리우
006200,한국전자홀딩스
006220,제주은행
006260,LS
006280,녹십자
006340,대원전선
006345,대원전선우
006360,GS건설
006370,대구백화점
006380,카프로
006390,한일현대시멘트
006400,삼성SDI
006405,삼성SDI우
006490,인스코비
006570,대림통상
006650,대한유화
006660,삼성공조
006740,영풍제지
006800,미래에셋대우
006805,미래에셋대우우
00680K,미래에셋대우2우B
006840,AK홀딩스
006880,신송홀딩스
006890,태경케미컬
006980,우성사료
007070,GS리테일
007110,일신석재
007120,미래아이앤지
007160,사조산업
007210,벽산
007280,한국특수형강
007310,오뚜기
007340,디티알오토모티브
007460,에이프로젠 KIC
007540,샘표
007570,일양약품
007575,일양약품우
007590,동방아그로
007610,선도전기
007630,폴루스바이오팜
007660,이수페타시스
007690,국도화학
007700,F&F
007810,코리아써키트
007815,코리아써우
00781K,코리아써키트2우B
007860,서연
007980,태평양물산
008040,사조동아원
008060,대덕
00806K,대덕1우
008110,대동전자
008250,이건산업
008260,NI스틸
008350,남선알미늄
008355,남선알미우
008420,문배철강
008490,서흥
008500,일정실업
008560,메리츠증권
008600,윌비스
008700,아남전자
008730,율촌화학
008770,호텔신라
008775,호텔신라우
008870,금비
008930,한미사이언스
008970,동양철관
009070,KCTC
009140,경인전자
009150,삼성전기
009155,삼성전기우
009160,SIMPAC
009180,한솔로지스틱스
009190,대양금속
009200,무림페이퍼
009240,한샘
009270,신원
009275,신원우
009290,광동제약
009310,참엔지니어링
009320,대우부품
009410,태영건설
009415,태영건설우
009420,한올바이오파마
009440,KC그린홀딩스
009450,경동나비엔
009460,한창제지
009470,삼화전기
009540,한국조선해양
009580,무림P&P
009680,모토닉
009770,삼정펄프
009810,엔케이물산
009830,한화솔루션
009835,한화솔루션우
009970,영원무역홀딩스
010040,한국내화
010050,우리종금
010060,OCI
010100,한국프랜지
010120,LS ELECTRIC
010130,고려아연
010140,삼성중공업
010145,삼성중공우
010400,우진아이엔에스
010420,한솔PNS
010580,지코
010600,웰바이오텍
010620,현대미포조선
010640,진양폴리
010660,화천기계
010690,화신
010770,평화홀딩스
010780,아이에스동서
010820,퍼스텍
010950,S-Oil
010955,S-Oil우
010960,삼호개발
011000,진원생명과학
011070,LG이노텍
011090,에넥스
011150,CJ씨푸드
011155,CJ씨푸드1우
011170,롯데케미칼
011200,HMM
011210,현대위아
011230,삼화전자
011280,태림포장
011300,성안
011330,유니켐
011390,부산산업
011420,갤럭시아에스엠
011500,한농화성
011690,유양디앤유
011700,한신기계
011760,현대상사
011780,금호석유
011785,금호석유우
011790,SKC
011810,STX
011930,신성이엔지
012030,DB
012160,영흥
012170,키위미디어그룹
012200,계양전기
012205,계양전기우
012280,영화금속
012320,경동인베스트
012330,현대모비스
012450,한화에어로스페이스
012510,더존비즈온
012600,청호컴넷
012610,경인양행
012630,HDC
012690,모나리자
012750,에스원
012800,대창
013000,세우글로벌
013360,일성건설
013520,화승알앤에이
013570,디와이
013580,계룡건설
013700,까뮤이앤씨
013870,지엠비코리아
013890,지누스
014130,한익스프레스
014160,대영포장
014280,금강공업
014285,금강공업우
014440,영보화학
014530,극동유화
014580,태경비케이
014680,한솔케미칼
014710,사조씨푸드
014790,한라
014820,동원시스템즈
014825,동원시스템즈우
014830,유니드
014910,성문전자
014915,성문전자우
014990,인디에프
015020,이스타코
015230,대창단조
015260,에이엔피
015350,부산가스
015360,예스코홀딩스
015540,쎌마테라퓨틱스
015590,큐로
015760,한국전력
015860,일진홀딩스
015890,태경산업
016090,대현
016360,삼성증권
016380,KG동부제철
016385,KG동부제철우
016450,한세예스24홀딩스
016580,환인제약
016590,신대양제지
016610,DB금융투자
016710,대성홀딩스
016740,두올
016800,퍼시스
016880,웅진
017040,광명전기
017180,명문제약
017370,우신시스템
017390,서울가스
017550,수산중공업
017670,SK텔레콤
017800,현대엘리베이
017810,풀무원
017900,광전자
017940,E1
017960,한국카본
018250,애경산업
018260,삼성에스디에스
018470,조일알미늄
018500,동원금속
018670,SK가스
018880,한온시스템
019170,신풍제약
019175,신풍제약우
019180,티에이치엔
019440,세아특수강
019490,하이트론
019680,대교
019685,대교우B
020000,한섬
020120,키다리스튜디오
020150,일진머티리얼즈
020560,아시아나항공
020760,일진디스플
021050,서원
021240,코웨이
021820,세원정공
023000,삼원강재
023150,MH에탄올
023350,한국종합기술
023450,동남합성
023530,롯데쇼핑
023590,다우기술
023800,인지컨트롤스
023810,인팩
023960,에쓰씨엔지니어링
024070,WISCOM
024090,디씨엠
024110,기업은행
024720,한국콜마홀딩스
024890,대원화성
024900,덕양산업
025000,KPX케미칼
025530,SJM홀딩스
025540,한국단자
025560,미래산업
025620,제이준코스메틱
025750,한솔홈데코
025820,이구산업
025860,남해화학
025890,한국주강
026890,디피씨
026940,부국철강
026960,동서
027410,BGF
027740,마니커
027970,세하
028050,삼성엔지니어링
028100,동아지질
028260,삼성물산
02826K,삼성물산우B
028670,팬오션
029460,케이씨
029530,신도리코
029780,삼성카드
030000,제일기획
030200,KT
030210,KTB투자증권
030610,교보증권
030720,동원수산
030790,비케이탑스
031430,신세계인터내셔날
031440,신세계푸드
031820,콤텍시스템
032350,롯데관광개발
032560,황금에스티
032640,LG유플러스
032830,삼성생명
033180,필룩스
033240,자화전자
033250,체시스
033270,유나이티드제약
033530,세종공업
033660,아주캐피탈
033780,KT&G
033920,무학
034020,두산중공업
034120,SBS
034220,LG디스플레이
034300,신세계건설
034310,NICE
034590,인천도시가스
034730,SK
03473K,SK우
034830,한국토지신탁
035000,지투알
035150,백산
035250,강원랜드
035420,NAVER
035510,신세계 I&C
035720,카카오
036420,제이콘텐트리
036460,한국가스공사
036530,S&T홀딩스
036570,엔씨소프트
036580,팜스코
037270,YG PLUS
037560,LG헬로비전
037710,광주신세계
039130,하나투어
039490,키움증권
039570,HDC아이콘트롤스
041650,상신브레이크
042660,대우조선해양
042670,두산인프라코어
042700,한미반도체
044380,주연테크
044450,KSS해운
044820,코스맥스비티아이
047040,대우건설
047050,포스코인터내셔널
047400,유니온머티리얼
047810,한국항공우주
049770,동원F&B
049800,우진플라임
051600,한전KPS
051630,진양화학
051900,LG생활건강
051905,LG생활건강우
051910,LG화학
051915,LG화학우
052690,한전기술
053210,스카이라이프
053690,한미글로벌
055490,테이팩스
055550,신한지주
057050,현대홈쇼핑
058430,포스코강판
058650,세아홀딩스
058730,다스코
058850,KTcs
058860,KTis
060980,한라홀딩스
063160,종근당바이오
064350,현대로템
064960,S&T모티브
066570,LG전자
066575,LG전자우
067830,세이브존I&C
068270,셀트리온
068290,삼성출판사
068400,SK렌터카
069260,휴켐스
069460,대호에이엘
069500,KODEX 200
069620,대웅제약
069640,한세엠케이
069660,KOSEF 200
069730,DSR제강
069960,현대백화점
070960,용평리조트
071050,한국금융지주
071055,한국금융지주우
071090,하이스틸
071320,지역난방공사
071840,롯데하이마트
071950,코아스
071970,STX중공업
072130,유엔젤
072710,농심홀딩스
073240,금호타이어
074610,이엔플러스
075180,새론오토모티브
075580,세진중공업
077500,유니퀘스트
077970,STX엔진
078000,텔코웨어
078520,에이블씨엔씨
078930,GS
078935,GS우
079160,CJ CGV
079430,현대리바트
079550,LIG넥스원
079980,휴비스
081000,일진다이아
081660,휠라홀딩스
082640,동양생명
082740,HSD엔진
083420,그린케미칼
084010,대한제강
084670,동양고속
084680,이월드
084690,대상홀딩스
084695,대상홀딩스우
084870,TBH글로벌
085310,엔케이
085620,미래에셋생명
086280,현대글로비스
086790,하나금융지주
088260,이리츠코크렙
088350,한화생명
088790,진도
088980,맥쿼리인프라
089470,HDC현대EP
089590,제주항공
090080,평화산업
090350,노루페인트
090355,노루페인트우
090370,메타랩스
090430,아모레퍼시픽
090435,아모레퍼시픽우
091090,세원셀론텍
091160,KODEX 반도체
091170,KODEX 은행
091180,KODEX 자동차
091220,TIGER 은행
091230,TIGER 반도체
091810,티웨이항공
092200,디아이씨
092220,KEC
092230,KPX홀딩스
092440,기신정기
092780,동양피스톤
093050,LF
093230,이아이디
093240,형지엘리트
093370,후성
094280,효성ITX
094800,맵스리얼티1
095570,AJ네트웍스
095720,웅진씽크빅
096300,베트남개발1
096760,JW홀딩스
096770,SK이노베이션
096775,SK이노베이션우
097230,한진중공업
097950,CJ제일제당
097955,CJ제일제당 우
098560,TIGER 방송통신
099140,KODEX China H
100220,비상교육
100250,진양홀딩스
100840,S&TC
100910,KOSEF KRX100
101060,SBS미디어홀딩스
101140,비티원
101280,KODEX 일본TOPIX100
101530,해태제과식품
102110,TIGER 200
102260,동성코퍼레이션
102280,쌍방울
102460,이연제약
102780,KODEX 삼성그룹
102960,KODEX 기계장비
102970,KODEX 증권
103140,풍산
103590,일진전기
104520,KOSEF 블루칩
104530,KOSEF 고배당
104700,한국철강
105010,TIGER 라틴35
105190,KINDEX 200
105560,KB금융
105630,한세실업
105780,KBSTAR 5대그룹주
105840,우진
107590,미원홀딩스
108450,KINDEX 삼성그룹섹터가중
108590,TREX 200
108670,LG하우시스
108675,LG하우시스우
109070,컨버즈
111110,호전실업
111770,영원무역
112610,씨에스윈드
114090,GKL
114100,KBSTAR 국고채3년
114260,KODEX 국고채3년
114460,KINDEX 중기국고채
114470,KOSEF 국고채3년
114800,KODEX 인버스
114820,TIGER 국채3년
115390,락앤락
117460,KODEX 에너지화학
117580,대성에너지
117680,KODEX 철강
117690,TIGER 차이나항셍25
117700,KODEX 건설
118000,우리들휴브레인
119650,KC코트렐
120030,조선선재
120110,코오롱인더
120115,코오롱인더우
122090,ARIRANG 코스피50
122260,KOSEF 통안채1년
122630,KODEX 레버리지
122900,아이마켓코리아
123310,TIGER 인버스
123320,TIGER 레버리지
123690,한국화장품
123700,SJM
123890,한국자산신탁
126560,현대에이치씨엔
128820,대성산업
128940,한미약품
129260,인터지스
130660,한전산업
130680,TIGER 원유선물Enhanced(H)
130730,KOSEF 단기자금
131890,KINDEX 삼성그룹동일가중
132030,KODEX 골드선물(H)
133690,TIGER 미국나스닥100
133820,화인베스틸
134380,미원화학
134790,시디즈
136340,KBSTAR 중기우량회사채
136490,선진
137610,TIGER 농산물선물Enhanced(H)
137930,마이다스 200커버드콜5%OTM
138040,메리츠금융지주
138230,KOSEF 미국달러선물
138250,엔에스쇼핑
138490,코오롱플라스틱
138520,TIGER 삼성그룹펀더멘털
138530,TIGER LG그룹+펀더멘털
138540,TIGER 현대차그룹+펀더멘털
138910,KODEX 구리선물(H)
138920,KODEX 콩선물(H)
138930,BNK금융지주
139130,DGB금융지주
139220,TIGER 200 건설
139230,TIGER 200 중공업
139240,TIGER 200 철강소재
139250,TIGER 200 에너지화학
139260,TIGER 200 IT
139270,TIGER 200 금융
139280,TIGER 경기방어
139290,TIGER 200 경기소비재
139310,TIGER 금속선물(H)
139320,TIGER 금은선물(H)
139480,이마트
139660,KOSEF 미국달러선물인버스
140570,KBSTAR 수출주
140580,KBSTAR 우량업종
140700,KODEX 보험
140710,KODEX 운송
140910,에이리츠
140950,파워 코스피100
143210,핸즈코퍼레이션
143460,KINDEX 밸류대형
143850,TIGER 미국S&P500선물(H)
143860,TIGER 헬스케어
144600,KODEX 은선물(H)
144620,코오롱머티리얼
145210,세화아이엠씨
145270,케이탑리츠
145670,KINDEX 인버스
145720,덴티움
145850,TREX 펀더멘탈 200
145990,삼양사
145995,삼양사우
147970,TIGER 모멘텀
148020,KBSTAR 200
148070,KOSEF 국고채10년
150460,TIGER 중국소비테마
152100,ARIRANG 200
152280,KOSEF 200 선물
152330,코리아오토글라스
152380,KODEX 국채선물10년
152500,KINDEX 레버리지
152550,한국ANKOR유전
152870,파워 200
153130,KODEX 단기채권
153270,KOSEF 코스피100
153360,하이골드3호
155660,DSR
155900,바다로19호
156080,KODEX MSCI Korea
157450,TIGER 단기통안채
157490,TIGER 소프트웨어
157500,TIGER 증권
159800,마이티 코스피100
160580,TIGER 구리실물
161000,애경유화
161390,한국타이어앤테크놀로지
161510,ARIRANG 고배당주
161890,한국콜마
163560,동일고무벨트
166400,TIGER 200커버드콜5%OTM
167860,KOSEF 국고채10년레버리지
168300,KTOP 코스피50
168490,한국패러랠
168580,KINDEX 중국본토CSI300
169950,KODEX 중국본토 A50
170350,TIGER 베타플러스
170900,동아에스티
172580,하이골드12호
174350,TIGER 로우볼
174360,KBSTAR 중국본토대형주CSI100
175330,JB금융지주
176710,파워 중기국고채
176950,KODEX 국채선물10년인버스
180640,한진칼
18064K,한진칼우
181480,KINDEX 미국다우존스리츠(합성 H)
181710,NHN
182480,TIGER 미국MSCI리츠(합성 H)
182490,TIGER 단기선진하이일드(합성 H)
183190,아세아시멘트
183700,KBSTAR 채권혼합
183710,KBSTAR 주식혼합
185680,KODEX 미국S&P바이오(합성)
185750,종근당
189400,ARIRANG 글로벌MSCI(합성 H)
190160,ARIRANG 단기유동성
190620,KINDEX 단기통안채
192080,더블유게임즈
192090,TIGER 차이나CSI300
192400,쿠쿠홀딩스
192650,드림텍
192720,파워 고배당저변동성
192820,코스맥스
194370,제이에스코퍼레이션
195870,해성디에스
195920,TIGER 일본TOPIX(합성 H)
195930,TIGER 유로스탁스50(합성 H)
195970,ARIRANG 선진국MSCI(합성 H)
195980,ARIRANG 신흥국MSCI(합성 H)
196030,KINDEX 일본TOPIX레버리지(H)
196230,KBSTAR 단기통안채
200030,KODEX 미국S&P산업재(합성)
200250,KOSEF 인도Nifty50(합성)
200880,서연이화
203780,TIGER 미국나스닥바이오
204210,모두투어리츠
204320,만도
204450,KODEX China H 레버리지(H)
204480,TIGER 차이나CSI300레버리지(합성)
205720,KINDEX 일본TOPIX인버스(합성 H)
207940,삼성바이오로직스
208470,SMART 선진국MSCI World(합성 H)
210540,디와이파워
210780,TIGER 코스피고배당
210980,SK디앤디
211260,KINDEX 배당성장
211560,TIGER 배당성장
211900,KODEX 배당성장
213500,한솔제지
213610,KODEX 삼성그룹밸류
213630,ARIRANG 미국다우존스고배당주(합성 H)
214320,이노션
